source,reason,ID,Category,Question,Option A,Option B,Option C,Option D,Correct Answer
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,580,2022 NFL Season,Did the Chiefs make it to Super Bowl LVI after 2022?,No,Yes,Lost earlier,Missed playoffs,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,587,2023 NFL Season MVP,Was 2023 Lamar Jackson's first unanimous MVP?,No,Yes,Nearly unanimous,Second unanimous,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,589,2023 NFL Season MVP,Did Lamar Jackson win unanimously in 2019?,Yes,No,Close,Tied,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,595,2023 Season Awards,Did Christian McCaffrey have 17 consecutive games with a touchdown?,Yes,No,19 games,15 games,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,599,2023 Season Awards,Did Christian McCaffrey finish in top 5 MVP voting?,Yes,No,Third place,Second place,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,606,Tom Brady Career Stats,Did Tom Brady unretire?,Yes,No,Partially,Briefly,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,617,Patrick Mahomes Career,Did Patrick Mahomes play baseball in college?,Yes,No,Minor league,Briefly,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,620,Patrick Mahomes Career,Is Patrick Mahomes a first-team All-Pro?,Yes,No,Multiple times,Once,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,624,Lamar Jackson Career,Did Lamar Jackson win the Heisman Trophy?,Yes,No,Runner-up,Not eligible,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,628,Lamar Jackson Career,Is Lamar Jackson known as a dual-threat QB?,Yes,No,Mostly passer,Mostly rusher,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,634,Christian McCaffrey Career,Did Christian McCaffrey get traded?,Yes,No,Multiple times,Almost,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,637,Christian McCaffrey Career,Did Christian McCaffrey play at Stanford?,Yes,No,Transferred,Graduate school,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,639,Christian McCaffrey Career,Is Christian McCaffrey in the Pro Bowl?,Yes,No,Multiple times,Once,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,644,Tyreek Hill Career,Did Tyreek Hill get traded?,Yes,No,Multiple times,Almost,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,648,Tyreek Hill Career,Is Tyreek Hill known for his speed?,Yes,No,Somewhat,Not really,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,653,Aaron Rodgers Career Continued,Is 122.5 the highest passer rating ever?,Yes,No,Tied,Not even top 5,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,664,2020-2023 Draft Highlights,Did Bryce Young go 1st overall in 2023?,No,Yes,Second pick,Third pick,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,666,2020-2023 Draft Highlights,Did C.J. Stroud go in the top 5 in 2023?,Yes,No,Exactly 5th,6th,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,668,2020-2023 Draft Highlights,Did Anthony Richardson go in the top 5 in 2023?,Yes,No,4th overall,6th,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,670,2020-2023 Draft Highlights,Did Will Anderson Jr. play defensive end?,Yes,No,Linebacker,Safety,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,680,2020-2023 Season Records,Did any team go undefeated in 2020-2023?,No,Yes,Close to it,Almost,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,685,Defensive Standouts 2020-2023,Did T.J. Watt tie the single-season sacks record?,Yes,No,Broke it,Close,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,699,Receiving Leaders 2020-2023,Did Cooper Kupp win the receiving title in 2021?,No,Yes,Close,Second place,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,701,Notable Playoff Moments 2020-2023,Did the Tampa Bay Buccaneers face the Green Bay Packers in 2020?,Yes,No,Lost earlier,In Super Bowl,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,704,Notable Playoff Moments 2020-2023,Did the Kansas City Chiefs lose in the 2021 playoffs?,Yes,No,Made Super Bowl,Lost Super Bowl,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,705,Notable Playoff Moments 2020-2023,Did the Green Bay Packers win in 2021 playoffs?,No,Yes,Made Super Bowl,Won Super Bowl,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,706,Notable Playoff Moments 2020-2023,Did the San Francisco 49ers make it to Super Bowl LVI?,No,Yes,Lost earlier,Wild card,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,707,Notable Playoff Moments 2020-2023,Did the Kansas City Chiefs make the playoffs in 2022?,Yes,No,Wild card,1st seed,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,708,Notable Playoff Moments 2020-2023,Did the Buffalo Bills make the playoffs in 2023?,Yes,No,Wild card,1st seed,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,709,Notable Playoff Moments 2020-2023,Did the Dallas Cowboys make the playoffs in 2023?,Yes,No,Wild card,2nd seed,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,710,Notable Playoff Moments 2020-2023,Did the Detroit Lions make the playoffs in 2023?,Yes,No,Wild card,1st seed,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,713,Individual Milestone Records,Did any other player reach 600 career TDs through 2023?,No,Yes,One did,Two did,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,717,Individual Milestone Records,Did Tom Brady break Peyton Manning's record?,Yes,No,Tied,Almost,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,719,Individual Milestone Records,Did Aaron Rodgers set a completion percentage record?,Yes,No,Tied,Second place,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,731,Free Agency & Trades 2020-2023,Did Tom Brady sign with Tampa Bay in free agency?,Yes,No,Traded,Mid-season,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,733,Free Agency & Trades 2020-2023,Did Rob Gronkowski also sign with Tampa Bay?,Yes,No,Later joined,Different team,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,734,Free Agency & Trades 2020-2023,Did Matthew Stafford get traded?,Yes,No,Free agent,Released,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,737,Free Agency & Trades 2020-2023,Did Odell Beckham Jr. sign with the Rams?,Yes,No,Later joined,Different team,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,738,Free Agency & Trades 2020-2023,Did Christian McCaffrey get traded to the 49ers mid-season?,Yes,No,In offseason,Free agent,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,740,Free Agency & Trades 2020-2023,Did Tyreek Hill sign with Miami as a free agent?,Yes,No,Traded,Different team,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,741,Hall of Fame & Awards 2020-2023,Did Peyton Manning get inducted into the Hall of Fame?,Yes,No,Eligible,Not yet,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,745,Hall of Fame & Awards 2020-2023,Did John Elway get inducted into the Hall of Fame?,Yes,No,Eligible,Not yet,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,748,Hall of Fame & Awards 2020-2023,Did Dan Marino ever win a Super Bowl?,No,Yes,Once,Twice,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,749,Hall of Fame & Awards 2020-2023,Is Dan Marino in the Hall of Fame?,Yes,No,Eligible,Not yet,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,752,Offensive Legends 2020-2023,Did Robert Woods have a strong 2020 season?,Yes,No,Injured,Traded,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,755,Offensive Legends 2020-2023,Did Mike Evans lead the league in receiving yards in 2020?,No,Yes,Second place,Close,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,757,Offensive Legends 2020-2023,Did Rob Gronkowski catch passes in 2020?,Yes,No,Injured,Retired,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,758,Offensive Legends 2020-2023,Did Rob Gronkowski return to play with Tampa Bay?,Yes,No,2021,2022,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,767,Running Backs 2020-2023,Did Rashaad White have a good 2023 season?,Yes,No,Injured,Traded,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,768,Running Backs 2020-2023,Did D'Andre Swift lead the league in rushing yards in 2023?,No,Yes,Second place,Top 5,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,769,Running Backs 2020-2023,Did Derrick Henry play for any other team besides Tennessee?,Yes,No,Later,Different leagues,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,771,Defensive Backs 2020-2023,Did Jalen Ramsey play for the Rams in 2020?,Yes,No,Traded,Released,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,773,Defensive Backs 2020-2023,Did Sauce Gardner have a strong rookie year?,Yes,No,Decent,Injured,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,776,Defensive Backs 2020-2023,Did Stephon Gilmore win DPOY in 2023?,No,Yes,Runner-up,Not eligible,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,777,Defensive Backs 2020-2023,Did Xavien Howard have a good 2023 season?,Yes,No,Injured,Below average,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,779,Defensive Backs 2020-2023,Did Darrelle Revis get inducted into the Hall of Fame?,Yes,No,Eligible,Not yet,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,781,Defensive Line 2020-2023,Did Aaron Donald play in 2023?,No,Yes,Retired,Released,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,786,Defensive Line 2020-2023,Did Chris Jones win DPOY?,No,Yes,Runner-up,Not eligible,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,788,Defensive Line 2020-2023,Did J.J. Watt play in 2023?,No,Yes,Limited,Injured,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,791,Linebackers 2020-2023,Did Micah Parsons have a strong rookie season?,Yes,No,Decent,Injured,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,793,Linebackers 2020-2023,Did Bobby Wagner lead the league in tackles?,Yes,No,Close,Multiple years,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,795,Linebackers 2020-2023,Did Fred Warner have a good 2023 season?,Yes,No,Injured,Below average,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,797,Linebackers 2020-2023,Did Lavonte David win any awards in 2020-2023?,No,Yes,Pro Bowl,All-Pro,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,798,Linebackers 2020-2023,Did Ryan Kerrigan play in 2020-2023?,Yes,No,Limited,Retired,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,799,Linebackers 2020-2023,Did Ryan Kerrigan retire after 2023?,Yes,No,2024,Still playing,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,801,Special Teams & Kickers 2020-2023,Did Harrison Butker win any awards in 2021-2023?,No,Yes,Pro Bowl,All-Pro,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,803,Special Teams & Kickers 2020-2023,Did Justin Tucker retire recently?,Yes,No,2022,2024,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,806,Special Teams & Kickers 2020-2023,Is Justin Tucker in the Hall of Fame?,No,Yes,Eligible,Retired,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,807,Special Teams & Kickers 2020-2023,Did Matt Gay have a good 2022 season?,Yes,No,Average,Below average,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,809,Special Teams & Kickers 2020-2023,Did Greg Joseph win any awards?,No,Yes,Pro Bowl,All-Pro,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,811,Coaching Changes 2020-2023,Did Bruce Arians coach the Buccaneers in 2020-2021?,Yes,No,Partial,Not entire,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,812,Coaching Changes 2020-2023,Did Bruce Arians retire?,Yes,No,Take break,Changed teams,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,814,Coaching Changes 2020-2023,Did Todd Bowles win a Super Bowl?,Yes,No,Later won,Made it,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,815,Coaching Changes 2020-2023,Did Sean Payton coach the Broncos?,Yes,No,Later,Not yet,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,817,Coaching Changes 2020-2023,Did Jeff Saturday coach the Colts?,Yes,No,Interim,Briefly,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,818,Coaching Changes 2020-2023,Did the Colts have success under Jeff Saturday?,No,Yes,Minor,Some games,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,819,Coaching Changes 2020-2023,Did Jim Harbaugh coach the Chargers?,Yes,No,Later,Almost,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,821,Team Turnarounds,Did the Houston Texans have a turnaround in 2023?,Yes,No,Minor,Slight,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,823,Team Turnarounds,Did the Carolina Panthers have a turnaround?,No,Yes,2022,2021,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,824,Team Turnarounds,Did the Jacksonville Jaguars have a turnaround in 2023?,Yes,No,Minor,Slight,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,825,Team Turnarounds,Did Doug Pederson coach the Jaguars?,Yes,No,Later,Almost,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,826,Team Turnarounds,Did the Jaguars make the playoffs in 2023?,Yes,No,Wild card,Division,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,827,Team Turnarounds,Did the Indianapolis Colts improve in 2023?,No,Yes,Minor,Slightly,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,828,Team Turnarounds,Did the Tennessee Titans decline in 2023?,Yes,No,Slightly,Somewhat,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,829,Team Turnarounds,Did Mike Vrabel coach the Titans?,Yes,No,Previously,Will coach,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,830,Team Turnarounds,Did the Titans make the playoffs in 2023?,No,Yes,Wild card,Close,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,831,Comebacks & Close Games,Did the Chiefs have a comeback in Super Bowl LIV?,Yes,No,Led entire,Close,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,833,Comebacks & Close Games,Did the Buccaneers dominate in Super Bowl LV?,Yes,No,Close game,Tied,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,834,Comebacks & Close Games,Was Super Bowl LVI close?,Yes,No,Very close,Blowout,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,835,Comebacks & Close Games,Did the Rams win Super Bowl LVI at home?,Yes,No,Neutral,Enemy territory,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,836,Comebacks & Close Games,Was Super Bowl LVII close?,Yes,No,Very close,Blowout,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,837,Comebacks & Close Games,Did the Eagles lead in Super Bowl LVII?,Yes,No,Tied,Not for long,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,838,Comebacks & Close Games,Was Super Bowl LVIII close?,Yes,No,Very close,Blowout,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,839,Comebacks & Close Games,Did the 49ers lead in the 4th quarter of Super Bowl LVIII?,Yes,No,Early 4th,Late 4th,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,841,Record Breaking Performances,Did Aaron Rodgers break a TD-to-INT record in 2020?,Yes,No,Tied,Close,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,843,Record Breaking Performances,Did Tom Brady break a passing yards record in 2021?,Yes,No,Tied,Close,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,844,Record Breaking Performances,Did Christian McCaffrey break a receiving record for RBs?,Yes,No,Tied,Close,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,846,Record Breaking Performances,Did Tyreek Hill break any records with Miami?,Yes,No,Tied,Close,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,847,Record Breaking Performances,"Did Davante Adams have back-to-back 1,500+ yard seasons?",Yes,No,One year,Close,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,848,Record Breaking Performances,Did Cooper Kupp have a historic season in 2021?,Yes,No,Decent,Average,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,849,Record Breaking Performances,Did Jonathan Taylor break any rushing records in 2021?,Yes,No,Tied,Close,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,850,Record Breaking Performances,"Did Derrick Henry have 1,500+ rushing yards in 2020?",Yes,No,"1,450","1,400",Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,851,Playoff History 2020-2023,Did the Buccaneers win the NFC South in 2020?,Yes,No,Wild card,Missed,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,852,Playoff History 2020-2023,Did the Buccaneers play as a wild card in 2020?,No,Yes,Division winner,1 seed,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,853,Playoff History 2020-2023,Did the Packers win the NFC North in 2020?,Yes,No,Wild card,Missed,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,854,Playoff History 2020-2023,Did the Ravens win the AFC North in 2021?,No,Yes,Wild card,Missed,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,855,Playoff History 2020-2023,Did the Steelers win the AFC North in 2021?,Yes,No,Wild card,Missed,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,856,Playoff History 2020-2023,Did the Cowboys win the NFC East in 2022?,No,Yes,Wild card,Missed,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,857,Playoff History 2020-2023,Did the Eagles win the NFC East in 2022?,Yes,No,Wild card,Missed,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,858,Playoff History 2020-2023,Did the 49ers win the NFC West in 2023?,Yes,No,Wild card,Missed,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,859,Playoff History 2020-2023,Did the Lions win the NFC North in 2023?,Yes,No,Wild card,Missed,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,860,Playoff History 2020-2023,Did the Ravens make the playoffs in 2023?,Yes,No,Wild card,Missed,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,862,Performance Metrics 2020-2023,Did the Pittsburgh Steelers have the top defense in 2020?,Yes,No,Second,Top 3,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,870,Performance Metrics 2020-2023,Did any team have both top offense and defense?,Yes,No,Once,Multiple times,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,871,Unanimous Picks & MVPs,Was Lamar Jackson a unanimous MVP in 2019?,Yes,No,Nearly,Close,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,872,Unanimous Picks & MVPs,Was Aaron Rodgers unanimous MVP in 2020?,No,Yes,Nearly,Close,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,873,Unanimous Picks & MVPs,Was Tom Brady unanimous MVP in 2021?,No,Yes,Nearly,Close,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,874,Unanimous Picks & MVPs,Was Patrick Mahomes unanimous MVP in 2022?,No,Yes,Nearly,Close,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,875,Unanimous Picks & MVPs,Was Lamar Jackson nearly unanimous in 2023?,Yes,No,One vote,Tied,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,877,Unanimous Picks & MVPs,Did Josh Allen ever win MVP?,No,Yes,2019,2023,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,878,Unanimous Picks & MVPs,Did Jalen Hurts ever win MVP?,No,Yes,2022,Close,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,879,Unanimous Picks & MVPs,Has any QB won back-to-back MVPs recently?,No,Yes,Different positions,Rare,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,880,Unanimous Picks & MVPs,Did Lamar Jackson win back-to-back MVPs?,No,Yes,2019 & 2024,Different years,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,881,Injury-Impacted Seasons,Did Chris Carson miss significant time?,Yes,No,One game,Minor,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,882,Injury-Impacted Seasons,Did Raheem Mostert have injury issues?,Yes,No,Missed one game,Minor,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,883,Injury-Impacted Seasons,Did Elijah Mitchell have injury problems?,Yes,No,One year,Minor,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,884,Injury-Impacted Seasons,Did Alvin Kamara stay healthy?,No,Yes,Missed games,Mostly,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,885,Injury-Impacted Seasons,Did Chris Godwin return from injury?,Yes,No,Partially,Late season,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,886,Injury-Impacted Seasons,Did Rob Gronkowski recover from injury?,Yes,No,Partially,Not completely,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,887,Injury-Impacted Seasons,Did Deshaun Watson miss games?,Yes,No,Started late,Suspended,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,888,Injury-Impacted Seasons,Did Tua Tagovailoa have injury issues?,Yes,No,One game,Minor,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,889,Injury-Impacted Seasons,Did Josh Allen stay healthy?,Yes,No,Minor issues,Some games,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,890,Injury-Impacted Seasons,Did Patrick Mahomes play most games?,Yes,No,Missed few,Minor issues,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,891,Notable Transactions & Signings,Did Odell Beckham Jr. sign with the Rams?,Yes,No,Traded,Drafted,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,893,Notable Transactions & Signings,Did Antonio Brown play for Tampa Bay?,Yes,No,Briefly,Didn't sign,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Could not auto-rewrite,894,Notable Transactions & Signings,Did Antonio Brown finish the 2020 season?,No,Yes,Mid-game quit,Released,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,895,Notable Transactions & Signings,Did Leonard Fournette sign with the Buccaneers?,Yes,No,Traded,Drafted,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,Contains Yes/No options,896,Notable Transactions & Signings,Did Leonard Fournette score in the Super Bowl?,Yes,No,Multiple,One TD,Yes
